time_series,prom_proiz,import,import_%,export,export_%,invest,invest_%,infl,tov_oborot,tov_oborot_%,bezrab,real_den_doh,real_zp
2014-01-31,14.802115364561617,28.12985481968944,87.25986235897578,28.12985481968944,83.00936552463685,99.99615039465034,43.49678148681113,78.89103421546626,13.284124787815845,73.9912423061468,13.0,35.15887418976562,80.61269198531677
2014-02-28,15.941898992380441,13.72303253069314,90.76389810749417,13.72303253069314,89.55513881897247,99.99771255297817,60.49669061621221,60.77578621750844,29.59331944925755,76.95649078469944,13.0,76.40780248629255,73.16443418005186
2014-03-31,15.999053845563463,27.196494591257842,76.78984009990151,27.196494591257842,72.2568169615957,99.99882041907851,60.494553932530025,41.611618802170916,28.547638549795366,81.56910013334502,6.0,64.76594607465552,32.95197433113423
2014-04-30,21.26152298764659,16.7529545754555,80.93226523819762,16.7529545754555,77.07932816207058,100.0,72.94271199657324,62.706872673058996,29.082325671210157,85.80031735138931,6.0,78.88253032773123,44.153663580665906
2014-05-31,23.12688311230544,11.1210315102882,80.50694188840794,11.1210315102882,92.01329564477832,99.99696454133766,58.019479475150476,89.62872670077378,11.534835415063247,70.64807037360083,6.0,86.9191949494511,75.54048646294441
2014-06-30,8.662678338272874,7.4385966411282505,87.15856112488902,7.4385966411282505,87.59070138736855,99.99310682019224,8.808964624015132,82.70461932395908,3.604582433280089,56.480254185440025,5.0,83.44348691927804,74.08309212652563
2014-07-31,12.027462049434149,7.380988023216223,74.35455623559476,7.380988023216223,68.71998270066135,99.99696454133766,42.89903057559684,49.075016885021064,0.0,69.64287513131742,6.0,0.0,0.0
2014-08-31,20.856587727481035,25.17152671452057,49.57336959631046,25.17152671452057,47.555685390272274,99.99574183024657,30.678319360964412,37.89666625968763,21.91715192713032,86.30886394798468,5.0,56.624057706730525,59.879325396396666
2014-09-30,33.04893753282589,15.453002875387474,55.47108389918482,15.453002875387474,60.48596686669229,99.99870335862923,62.88007720782686,26.268611674845946,18.353900046323844,84.61266654699959,7.0,70.05927275166746,77.47558312303447
2014-10-31,28.103304437129502,15.328316029985332,71.58652177003047,15.328316029985332,76.1357471560614,99.99945101261737,64.02190213030354,41.34207133652932,11.664251878294088,83.60929297020803,15.0,66.4201277276828,70.87472695687185
2014-11-30,26.765835801831386,16.6023229203429,71.61209373374949,16.6023229203429,74.07764914313786,99.9980683780005,37.8941921997003,44.06898735181596,13.571449897906545,80.0089527731232,17.0,75.74703689527286,80.44839761672465
2014-12-31,33.3198428335763,11.509481883991844,67.43113124514144,11.509481883991844,71.64168300728186,99.9991176988798,42.2343107182056,47.25986208806061,23.907478472504348,87.5580537128359,14.0,56.017529794298376,61.02031677225815
2015-01-31,9.771486120135858,7.295895885015032,80.58315026345373,7.295895885015032,77.59089500152693,99.99272273039041,14.309869893434126,50.16983197615468,5.411857882048923,61.133734025474205,12.0,73.27790968495552,77.32931436934145
2015-02-28,5.806706578021569,4.3075090841990615,86.48542778692311,4.3075090841990615,90.21311715488137,99.99245142888073,4.442314431777505,68.51808577374867,8.779951183575236,71.83299202846105,11.0,75.13740519876258,77.49963648923156
2015-03-31,11.538504276899612,11.19427180723647,81.07096092997787,11.19427180723647,85.68291499372516,99.99574183024657,13.349489419318116,73.302356905594,8.706195353131351,74.97680174084465,17.0,64.74704073222269,73.89302568676145
2015-04-30,20.70118628905012,11.211942636898588,77.54761473259029,11.211942636898588,81.9243634339997,99.99536792088881,18.077607301977956,78.84689622070061,9.382620528195002,73.37123584731222,22.0,66.92681349604116,77.89056391911463
2015-05-31,12.519859870833287,10.776546653583408,89.20372509193301,10.776546653583408,86.73350089499749,99.99358039332364,2.490287307573108,76.13295958693791,12.704395761106447,73.15952632602438,16.0,79.9744336153582,78.48033918436322
2015-06-30,25.930636638036717,17.61033367693809,60.789781672717645,17.61033367693809,79.73057950268976,99.99767041580638,27.16266745848781,63.33981772062951,18.36510899367964,82.63000039019606,10.0,31.492738006671388,59.416827968247865
2015-07-31,15.759099132375233,15.291850624304823,70.44920683579976,15.291850624304823,80.02908327618475,99.99322915991381,21.873549423587793,71.57600684329958,18.9804961358463,70.64807037360083,11.0,74.756587020539,61.25445682825213
2015-08-31,11.922844023685935,13.976564030234067,59.43322822394418,13.976564030234067,61.51744875487547,99.99574183024657,16.94894613217642,49.937676567014,17.532207418359718,82.74266236555694,7.0,70.87352188369464,87.76494997195131
2015-09-30,6.871728737293123,26.15013959793275,77.48431239752387,26.15013959793275,86.25126689960716,99.98184601803058,71.07646570111629,31.240798654422154,34.98215537435198,0.0,2.0,73.86681841490687,91.16733860519923
2015-10-31,17.09709645911228,10.511588796113498,82.34179658589501,10.511588796113498,84.57417947608758,99.99621464470079,22.22577424860019,63.57939344675398,14.786660532264955,73.58039465147611,12.0,52.41459922902667,65.28746125378687
2015-11-30,24.738526718190343,5.864903884147655,77.81683075962292,5.864903884147655,82.90758331847148,99.99512710955673,24.393218615149603,72.686562342894,9.838985419079219,79.15796333918217,13.0,58.12843693852199,59.477725287913266
2015-12-31,49.03075734124237,17.415465217561174,62.477927390890486,17.415465217561174,76.08866990987457,99.99711781692768,34.94778781454009,67.11800409278763,16.62841622098423,87.48419199572218,17.0,21.812652930581006,33.04905686480767
2016-01-31,24.667240776431914,26.732027981154538,68.42389668264585,26.732027981154538,77.62963610402136,99.99588259612946,36.27072076668575,34.830657346957224,16.32253270846756,76.44043923360832,10.0,65.11138151916406,65.3599151554666
